Tree#,Groups,WScore
1,10_HALO_2B-18_11_20_2_1,0.81175
1,11_HALO_3B-18_11_20_2_1,0.813393
1,12_HALO_4B-18_11_20_2_1,0.815443
1,12_W_plus_3_G1-18_11_20_2_1,0.966813
1,13_HALO_5B-18_11_20_2_1,0.809201
1,13_W_plus_3_G11-18_11_20_2_1,0.937814
1,14_HALO_6B-18_11_20_2_1,0.80153
1,14_W_plus_3_H6-18_11_20_2_1,0.940441
1,15_HALO_7B-18_11_20_2_1,0.808206
1,16_HALO_8B-18_11_20_2_1,0.820294
1,17_HALO_1C-18_11_20_2_1,0.802022
1,17_S6_g11-18_11_20_2_1,0.957108
1,18_11_20_1_1-18_11_20_2_1,0.360708
1,18_11_20_1_2-18_11_20_2_1,0.509442
1,18_11_20_1_3-18_11_20_2_1,0.022338
1,10_G2_HG-18_11_20_2_2,0.936503
1,10_HALO_2B-18_11_20_2_2,0.775699
1,11_HALO_3B-18_11_20_2_2,0.77385
1,12_HALO_4B-18_11_20_2_2,0.77618
1,12_W_plus_3_G1-18_11_20_2_2,0.942541
1,13_HALO_5B-18_11_20_2_2,0.768144
1,13_W_plus_3_G11-18_11_20_2_2,0.937676
1,14_HALO_6B-18_11_20_2_2,0.759188
1,14_W_plus_3_H6-18_11_20_2_2,0.949645
1,15_HALO_7B-18_11_20_2_2,0.771733
1,16_HALO_8B-18_11_20_2_2,0.775843
1,17_HALO_1C-18_11_20_2_2,0.752341
1,17_S6_g11-18_11_20_2_2,0.953797
1,18_11_20_1_1-18_11_20_2_2,0.290547
1,18_11_20_1_2-18_11_20_2_2,0.364376
1,18_11_20_1_3-18_11_20_2_2,0.265278
1,18_11_20_2_1-18_11_20_2_2,0.257924
1,10_G2_HG-18_11_20_2_3,0.952348
1,10_HALO_2B-18_11_20_2_3,0.813963
1,11_HALO_3B-18_11_20_2_3,0.809307
1,12_HALO_4B-18_11_20_2_3,0.808904
1,12_W_plus_3_G1-18_11_20_2_3,0.949956
1,13_HALO_5B-18_11_20_2_3,0.804561
1,13_W_plus_3_G11-18_11_20_2_3,0.937575
1,14_HALO_6B-18_11_20_2_3,0.794751
1,14_W_plus_3_H6-18_11_20_2_3,0.968173
1,15_HALO_7B-18_11_20_2_3,0.813157
1,16_HALO_8B-18_11_20_2_3,0.801302
1,17_HALO_1C-18_11_20_2_3,0.796053
1,17_S6_g11-18_11_20_2_3,0.963563
1,18_11_20_1_1-18_11_20_2_3,0.569156
1,18_11_20_1_2-18_11_20_2_3,0.41736
1,18_11_20_1_3-18_11_20_2_3,0.476252
1,18_11_20_2_1-18_11_20_2_3,0.478892
